Geohash,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz2x99,43.68988,-79.47372,43.69125,-79.47235,43.69075,-79.47259,Toronto,,Ontario,Canada,CA-ON,0.087,14,2019-02-02,5.0
dpz3n2q,43.7709,-79.52179,43.77228,-79.52042,43.77158,-79.52101,Toronto,,Ontario,Canada,CA-ON,0.0486,15,2019-02-02,5.0
dpz8epv,43.72421,-79.31442,43.72559,-79.31305,43.72531,-79.31371,Toronto,,Ontario,Canada,CA-ON,0.0159,21,2019-02-02,5.0
dpz9hkh,43.7915,-79.26086,43.79288,-79.25949,43.79216,-79.2598,Toronto,,Ontario,Canada,CA-ON,0.0313,23,2019-02-02,5.0
dpz8cnu,43.76266,-79.40369,43.76404,-79.40231,43.76336,-79.40282,Toronto,,Ontario,Canada,CA-ON,0.0999,26,2019-02-02,5.0
dpz8d5w,43.70087,-79.35699,43.70224,-79.35562,43.7019,-79.35621,Toronto,,Ontario,Canada,CA-ON,0.3577,86,2019-02-02,5.0
dpz8bzm,43.76541,-79.4133,43.76678,-79.41193,43.766,-79.41213,Toronto,,Ontario,Canada,CA-ON,0.0948,30,2019-02-02,5.0
dpz943j,43.77502,-79.34738,43.7764,-79.34601,43.77542,-79.34723,Toronto,,Ontario,Canada,CA-ON,0.0239,3,2019-02-02,5.0
dpz8dhc,43.70773,-79.36386,43.70911,-79.36249,43.70848,-79.36273,Toronto,,Ontario,Canada,CA-ON,0.0292,3,2019-02-02,5.0
dpz8u3v,43.7352,-79.25949,43.73657,-79.25812,43.73586,-79.25861,Toronto,,Ontario,Canada,CA-ON,0.0082,3,2019-02-02,5.0
dpz2v47,43.73795,-79.58084,43.73932,-79.57947,43.73873,-79.57981,Toronto,,Ontario,Canada,CA-ON,0.0171,3,2019-02-02,5.0
dpz8eru,43.72421,-79.30481,43.72559,-79.30344,43.72466,-79.30389,Toronto,,Ontario,Canada,CA-ON,0.0413,3,2019-02-02,5.0
dpz8dsy,43.70773,-79.33502,43.70911,-79.33365,43.70839,-79.33374,Toronto,,Ontario,Canada,CA-ON,0.0057,3,2019-02-02,5.0
dpz9m0e,43.81622,-79.22928,43.8176,-79.22791,43.81681,-79.22826,Toronto,,Ontario,Canada,CA-ON,0.036,3,2019-02-02,5.0
dpz8b6m,43.73795,-79.43527,43.73932,-79.4339,43.73835,-79.43421,Toronto,,Ontario,Canada,CA-ON,0.059,3,2019-02-02,5.0
dpz839q,43.64456,-79.37897,43.64594,-79.37759,43.6455,-79.37864,Toronto,,Ontario,Canada,CA-ON,0.045,3,2019-02-02,5.0
