,HoodID,Neighbourhood,Pop2016,Pop2011,PopChg11t16,YearlyGrowthRate,Pop2010,Pop2009,Pop2008,Pop2007,Pop2012,Pop2013,Pop2014,Pop2015,Pop2017
54,54,O'Connor-Parkview,18675,18316,0.02,-0.113454058,20394,22707,25284,28152,16237,14395,12762,11314,8892
55,55,Thorncliffe Park,21108,19225,0.1,-0.09147153,20983,22902,24997,27284,17466,15868,14417,13098,10811
56,56,Leaside-Bennington,16828,17011,-0.01,-0.131728342,19251,21787,24657,27906,14770,12824,11135,9668,7288
57,57,Broadview North,11499,11563,-0.01,-0.195397942,13822,16523,19751,23611,9303,7485,6023,4846,3137
58,58,Old East York,9233,9118,0.01,-0.229952188,11214,13793,16965,20866,7021,5406,4163,3206,1901
59,59,Danforth East York,17180,16712,0.03,-0.128125941,18853,21268,23993,27068,14570,12703,11076,9657,7340
60,60,Woodbine-Lumsden,7865,7826,0.01,-0.254257542,9815,12311,15441,19368,5836,4352,3245,2420,1346
61,61,Taylor-Massey,15683,15594,0.01,-0.143879389,17837,20404,23339,26697,13350,11429,9785,8377,6139
62,62,East End-Danforth,21381,20839,0.03,-0.089133506,22696,24719,26922,29322,18981,17289,15748,14344,11901
63,63,The Beaches,21567,21130,0.02,-0.08755421,22980,24992,27180,29559,19279,17591,16051,14646,12193
64,64,Woodbine Corridor,12541,11703,0.07,-0.181317404,13824,16331,19292,22791,9581,7843,6421,5257,3523
65,65,Greenwood-Coxwell,14417,14083,0.02,-0.158170571,16310,18890,21878,25338,11855,9980,8401,7072,5012
66,66,Danforth,9666,9444,0.02,-0.222861397,11548,14122,17269,21118,7339,5703,4432,3444,2080
67,67,Playter Estates-Danforth,7804,7653,0.02,-0.255417926,9607,12061,15142,19010,5698,4242,3159,2352,1304
68,68,North Riverdale,11916,12191,-0.02,-0.189645174,14502,17253,20525,24417,9879,8005,6487,5257,3452
69,69,Blake-Jones,7727,7763,-0.01,-0.256893078,9757,12263,15414,19374,5768,4286,3185,2367,1307
70,70,South Riverdale,27876,25642,0.09,-0.039504763,26654,27707,28802,29940,24629,23656,22721,21823,20133
71,71,Cabbagetown-South St. James Town,11669,12053,-0.03,-0.193032857,14379,17155,20466,24417,9726,7848,6333,5111,3328
72,72,Regent Park,10803,10007,0.08,-0.20538273,12062,14539,17525,21125,7951,6318,5020,3989,2519
73,73,Moss Park,20506,16306,0.26,-0.096713926,17883,19612,21509,23589,14728,13304,12017,10855,8857
74,74,North St. James Town,18615,17832,0.04,-0.114024459,19865,22130,24653,27464,15798,13997,12401,10987,8624
75,75,Church-Yonge Corridor,31340,28349,0.11,-0.016738753,28823,29305,29796,30295,27874,27407,26949,26498,25618
76,76,Bay Street Corridor,25797,19348,0.33,-0.054279148,20398,21505,22672,23903,18297,17304,16365,15477,13842
77,77,Waterfront Communities-The Island,65913,43361,0.52,0.140888861,37251,32003,27494,23620,49470,56439,64391,73463,95622
78,78,Kensington-Chinatown,17945,18495,-0.03,-0.120496005,20723,23220,26018,29153,16266,14306,12582,11066,8560
79,79,University,7607,7782,-0.02,-0.259215635,9799,12339,15537,19565,5764,4270,3163,2343,1286
80,80,Palmerston-Little Italy,13826,13746,0.01,-0.165188478,16016,18662,21745,25337,11475,9579,7997,6676,4652
81,81,Trinity-Bellwoods,16556,16802,-0.02,-0.134553536,19062,21627,24537,27839,14541,12584,10891,9425,7059
82,82,Niagara,31180,21274,0.47,-0.017744778,21651,22035,22426,22824,20896,20525,20161,19803,19107
83,83,Dufferin Grove,11785,11449,0.03,-0.191434808,13640,16252,19363,23070,9257,7485,6052,4893,3199
84,84,Little Portugal,15559,12050,0.29,-0.1452375,13800,15804,18099,20728,10299,8803,7525,6432,4699
85,85,South Parkdale,21849,21251,0.03,-0.08518045,23061,25025,27157,29470,19440,17784,16269,14884,12456
86,86,Roncesvalles,14974,15050,-0.01,-0.15176402,17334,19964,22994,26484,12765,10828,9185,7791,5605
87,87,High Park-Swansea,23925,21740,0.1,-0.068421379,23227,24816,26514,28328,20252,18866,17575,16373,14209
88,88,High Park North,22162,21292,0.04,-0.082574274,23050,24953,27014,29244,19533,17920,16441,15083,12695
89,89,Runnymede-Bloor West Village,10070,9632,0.05,-0.216471103,11717,14253,17338,21092,7546,5913,4633,3630,2228
90,90,Junction Area,14366,14027,0.02,-0.158767008,16254,18834,21824,25290,11799,9926,8350,7024,4971
91,91,Weston-Pellam Park,11098,12010,-0.08,-0.201089612,14425,17325,20809,24994,9594,7665,6124,4892,3122
