"","Geohash","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther","Count.Date","SeverityScore","IncidentsTotal","sum_acc_count","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume"
"45","dpz80xk",1.2009,0.0961,5068,0.0264,0.1963,0.1822,0.0572,0.1414,0.3965,NA,NA,NA,4,NA,NA
"46","dpz80xm",0.7892,0.0028,31806,0.0308,0.1638,0.2123,0.0859,0.1742,0.333,NA,NA,NA,NA,NA,NA
"47","dpz80xn",0.7289,0.3158,19,0,0.3333,0.3889,0.0556,0.1667,0.0555,NA,NA,NA,NA,NA,NA
"48","dpz80xp",0.4967,0.0161,372,0.0436,0.2207,0.0899,0.0599,0.1063,0.4796,NA,NA,NA,NA,NA,NA
"49","dpz80xq",0.7477,0.0058,38171,0.0351,0.1607,0.2416,0.0803,0.1657,0.3166,NA,NA,NA,NA,NA,NA
"50","dpz80xr",1.8403,0.0233,43,0.0465,0.3488,0.1163,0.093,0.0465,0.3489,NA,NA,NA,4,NA,NA
"51","dpz80xs",1.4176,0.2,15,0.0667,0,0.2667,0,0.4,0.2666,NA,NA,NA,NA,NA,NA
"52","dpz80xt",0.6167,0.2712,59,0,0.0678,0.2373,0.1356,0.0508,0.5085,NA,NA,NA,NA,NA,NA
"53","dpz80xu",0.425,0.1415,2862,0.0232,0.223,0.216,0.066,0.079,0.3928,NA,NA,NA,NA,NA,NA
"54","dpz80xv",0.6147,0.1333,15,0,0.2143,0.2143,0.0714,0,0.5,NA,NA,NA,NA,NA,NA
"55","dpz80xw",1.3636,0.1364,22,0.0455,0.0455,0.3182,0.0455,0.0455,0.4998,NA,NA,NA,NA,NA,NA
"56","dpz80xx",1.1224,0.0041,18604,0.0304,0.1486,0.2192,0.0869,0.1793,0.3356,NA,NA,NA,NA,NA,NA
"57","dpz80xy",0.833,0.1364,44,0.0227,0.3636,0.1364,0.0227,0.25,0.2046,NA,NA,NA,NA,NA,NA
"58","dpz80xz",0.8378,0.3075,452,0.0022,0.2124,0.3429,0.0929,0.0708,0.2788,NA,NA,NA,NA,NA,NA
"59","dpz80yb",0.4482,0.12,1100,0.0458,0.1962,0.1778,0.0724,0.1146,0.3932,NA,NA,NA,NA,NA,NA
"60","dpz80yc",1.138,0.2308,13,0.1538,0.1538,0.5385,0.0769,0,0.077,NA,NA,NA,NA,NA,NA
"61","dpz80yf",0,0,10,0.1,0.2,0,0.1,0.2,0.4,NA,NA,NA,NA,NA,NA
"62","dpz80yg",1.4592,0.1111,45,0.1136,0.1818,0.2045,0.0455,0.1136,0.341,2009-12-07,NA,NA,NA,21367,121
"63","dpz80yu",0.384,0.0035,565,0.0461,0.1879,0.2181,0.0532,0.1206,0.3741,NA,NA,NA,NA,NA,NA
"64","dpz80yv",0.6245,0.0033,9314,0.0388,0.1606,0.2612,0.0691,0.1249,0.3454,NA,NA,NA,NA,NA,NA
"65","dpz80yy",1.1609,0.0897,78,0.039,0.1299,0.2338,0.026,0.2338,0.3375,NA,NA,NA,NA,NA,NA
"66","dpz80yz",0.688,0.0652,184,0.0333,0.2944,0.1167,0.0222,0.0889,0.4445,NA,NA,NA,NA,NA,NA
"67","dpz80z0",0.8728,0.1628,43,0.0465,0.186,0.1628,0.0465,0.2093,0.3489,NA,NA,NA,NA,NA,NA
"68","dpz80z1",0.4336,0.0028,1073,0.0441,0.1897,0.1756,0.0714,0.1155,0.4037,NA,NA,NA,NA,NA,NA
