"","Geohash","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther","Count.Date","SeverityScore","IncidentsTotal","sum_acc_count","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume"
"192","dpz826u",1.1143,0.2138,145,0.0276,0.3172,0.1724,0.0138,0.0483,0.4207,NA,NA,NA,NA,NA,NA
"193","dpz826v",1.2356,0.2475,202,0.0248,0.2871,0.1535,0.0198,0.0495,0.4653,NA,NA,NA,NA,NA,NA
"194","dpz826w",1.2058,0.2105,38,0.0263,0.1579,0.1842,0.0526,0.0263,0.5527,2016-06-11,NA,NA,NA,14803,5131
"195","dpz826x",0.5605,0.142,8845,0.0257,0.1824,0.1562,0.0552,0.1035,0.477,NA,0.0148,3,5,NA,NA
"196","dpz826y",1.4057,0.2584,209,0.0239,0.2871,0.1531,0.0191,0.0431,0.4737,NA,NA,NA,NA,NA,NA
"197","dpz826z",2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912,NA,NA,NA,NA,NA,NA
"198","dpz827h",0.1863,0.0606,33,0,0.0909,0.1212,0.303,0.3636,0.1213,NA,NA,NA,NA,NA,NA
"199","dpz827j",1.6292,0.267,221,0.0731,0.1416,0.0457,0.1461,0.3562,0.2373,NA,NA,NA,NA,NA,NA
"200","dpz827k",0.4204,0.0569,123,0,0.1382,0.0325,0.0163,0.4634,0.3496,NA,NA,NA,NA,NA,NA
"201","dpz827m",0.5234,0.2821,1875,0.0339,0.1635,0.1205,0.0221,0.2044,0.4556,NA,0.0229,3,NA,NA,NA
"202","dpz827n",0.6823,0.0618,6307,0.0258,0.1556,0.1642,0.0528,0.1169,0.4847,2016-04-28,NA,NA,6,10922,378
"203","dpz827p",0.5855,0.129,411,0.0074,0.2148,0.2741,0.0247,0.0593,0.4197,NA,NA,NA,NA,NA,NA
"204","dpz827q",0.7169,0.0582,5976,0.0257,0.1523,0.1669,0.0547,0.1144,0.486,NA,NA,NA,NA,NA,NA
"205","dpz827s",0.5078,0.1447,850,0.0225,0.1706,0.1374,0.0723,0.1706,0.4266,NA,NA,NA,NA,NA,NA
"206","dpz827t",0.7403,0.1008,6312,0.0255,0.1522,0.1725,0.0572,0.1159,0.4767,2016-04-27,NA,NA,NA,11740,2516
"207","dpz827u",0.717,0.071,1957,0.0216,0.1516,0.1655,0.0473,0.112,0.502,NA,NA,NA,NA,NA,NA
"208","dpz827v",0.7797,0.1698,524,0.0192,0.1552,0.136,0.0843,0.2184,0.3869,NA,NA,NA,NA,NA,NA
"209","dpz827w",1.2113,0.1172,367,0.0356,0.126,0.3233,0.0356,0.0603,0.4192,NA,NA,NA,NA,NA,NA
"210","dpz827x",1.3225,0.1097,237,0.0427,0.1709,0.2821,0.0385,0.0769,0.3889,NA,NA,NA,NA,NA,NA
"211","dpz827y",0.9653,0.1325,166,0.0364,0.1697,0.2788,0.0242,0.097,0.3939,NA,NA,NA,NA,NA,NA
"212","dpz827z",1.4176,0.2126,508,0.0317,0.2396,0.2416,0.0455,0.0634,0.3782,NA,NA,NA,NA,NA,NA
"213","dpz8280",1.1134,0.1818,11,0,0.3636,0.2727,0,0.0909,0.2728,2015-10-07,NA,NA,NA,9259,2198
"214","dpz8281",3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217,NA,NA,NA,4,NA,NA
"215","dpz8282",1.9402,0.0526,38,0,0.2368,0.0789,0.0526,0.2895,0.3422,NA,NA,NA,NA,NA,NA
"216","dpz8283",0.8216,0.0638,188,0.016,0.2299,0.1337,0.0374,0.0588,0.5242,NA,NA,NA,NA,NA,NA
"217","dpz8284",0.603,0.4783,23,0,0.2609,0.4783,0.087,0,0.1738,2016-06-11,0.0139,3,5,13926,5310
"218","dpz8285",0.4943,0.1212,132,0.0077,0.2,0.2077,0.0615,0.1462,0.3769,NA,NA,NA,NA,NA,NA
"219","dpz8286",1.1311,0.0417,24,0,0.0833,0.2917,0,0.375,0.25,NA,NA,NA,NA,NA,NA
"220","dpz8287",1.5167,0.1087,46,0.0217,0.1522,0.4783,0.0652,0.1739,0.1087,NA,NA,NA,NA,NA,NA
"221","dpz8288",0.9252,0.101,99,0.0102,0.2245,0.102,0.0102,0.0102,0.6429,NA,NA,NA,NA,NA,NA
"222","dpz8289",1.8289,0.0714,28,0,0,0.2143,0.1071,0.1429,0.5357,NA,NA,NA,NA,NA,NA
"223","dpz828b",0.4249,0.0809,1385,0.0138,0.4584,0.0999,0.034,0.0543,0.3396,NA,NA,NA,NA,NA,NA
"224","dpz828c",0.7306,0.0319,1847,0.0223,0.1875,0.138,0.05,0.0848,0.5174,2016-06-11,0.0239,3,4,14622,6472
"225","dpz828d",0.7585,0.004,252,0.0397,0.2302,0.1627,0.0397,0.1429,0.3848,NA,NA,NA,2,NA,NA
"226","dpz828e",0.6904,0.0753,332,0.0212,0.1818,0.2061,0.0212,0.0667,0.503,NA,NA,NA,NA,NA,NA
"227","dpz828f",0.809,0.1333,15,0,0,0.2667,0.0667,0.4,0.2666,2016-04-26,NA,NA,4,10496,1546
"228","dpz828g",0.812,0.2143,1414,0.02,0.2434,0.1406,0.0286,0.04,0.5274,NA,NA,NA,NA,NA,NA
"229","dpz828h",0.6761,0.2529,170,0,0.3176,0.4,0.0353,0.0471,0.2,NA,NA,NA,NA,NA,NA
"230","dpz828j",0.8222,0.2308,13,0,0.1538,0.5385,0.1538,0,0.1539,NA,NA,NA,NA,NA,NA
"231","dpz828k",0.6912,0.2133,150,0.0067,0.2133,0.16,0.04,0.1533,0.4267,NA,NA,NA,4,NA,NA
"232","dpz828m",0.6461,0.165,103,0.0194,0.2621,0.1942,0.0194,0.1165,0.3884,2011-09-29,NA,NA,2,8970,847
"233","dpz828n",0.502,0.3072,3421,0.0264,0.1861,0.2049,0.0672,0.0901,0.4253,NA,NA,NA,NA,NA,NA
"234","dpz828p",0.8701,0.0717,1841,0.0246,0.1846,0.1062,0.0444,0.1019,0.5383,NA,NA,NA,NA,NA,NA
"235","dpz828q",0.6079,0.193,228,0.0132,0.2247,0.1806,0.0088,0.1542,0.4185,NA,NA,NA,NA,NA,NA
"236","dpz828r",0.9626,0.0168,119,0.0336,0.2353,0.084,0.0168,0.0924,0.5379,2018-01-24,NA,NA,NA,9466,2769
"237","dpz828s",0.9934,0.039,77,0.0263,0.1579,0.3026,0.0263,0.0789,0.408,NA,NA,NA,NA,NA,NA
"238","dpz828t",0.7108,0.1437,821,0.0234,0.2312,0.155,0.0295,0.0369,0.524,NA,NA,NA,1,NA,NA
"239","dpz828u",0.6471,0.0544,239,0.0171,0.2436,0.1282,0.0385,0.1282,0.4444,NA,NA,NA,3,NA,NA
"240","dpz828v",0.8593,0.1113,791,0.014,0.2229,0.0828,0.0204,0.0178,0.6421,NA,NA,NA,NA,NA,NA
"241","dpz828w",1.3451,0.1111,18,0,0.3889,0.1667,0,0.1111,0.3333,NA,NA,NA,NA,NA,NA
"242","dpz828x",1.039,0.2203,2265,0.0305,0.2229,0.1368,0.0247,0.0283,0.5568,NA,NA,NA,NA,NA,NA
"243","dpz828y",1.623,0.1111,72,0,0.2857,0.1,0.1286,0.1143,0.3714,NA,NA,NA,NA,NA,NA
"244","dpz828z",1.3524,0.0649,154,0.0131,0.1176,0.5033,0.0523,0.0458,0.2679,NA,NA,NA,NA,NA,NA
"245","dpz8290",0,0,10,0,0.2,0.6,0,0.2,0,NA,NA,NA,NA,NA,NA
"246","dpz8291",1.0599,0.0317,63,0.0323,0.1774,0.0968,0.0484,0.0806,0.5645,NA,NA,NA,NA,NA,NA
"247","dpz8292",1.2774,0.0333,30,0,0.0667,0.0667,0,0.7667,0.0999,NA,NA,NA,NA,NA,NA
"248","dpz8293",0.6227,0.0606,33,0.0313,0.1875,0.1563,0.0938,0,0.5311,NA,NA,NA,NA,NA,NA
"249","dpz8294",0.7643,0.0577,52,0,0.1373,0.0392,0.0588,0.1569,0.6078,NA,NA,NA,NA,NA,NA
"250","dpz8295",1.2151,0.1111,54,0.0566,0.0755,0.1321,0.283,0.0189,0.4339,NA,NA,NA,NA,NA,NA
"251","dpz8296",0.6551,0.1011,544,0.0148,0.2514,0.1349,0.0351,0.0573,0.5065,NA,NA,NA,NA,NA,NA
"252","dpz8297",0.3838,0.1836,523,0.0116,0.2984,0.1124,0.0465,0.0368,0.4943,NA,NA,NA,NA,NA,NA
"253","dpz8298",0.6277,0.1171,333,0.0485,0.203,0.2121,0.0424,0.0697,0.4243,2016-04-27,NA,NA,2,8849,1094
"254","dpz8299",0.3852,0.0338,650,0.017,0.2423,0.142,0.0293,0.0849,0.4845,NA,NA,NA,NA,NA,NA
"255","dpz829b",0.5885,0.0218,7340,0.0244,0.1823,0.1511,0.054,0.105,0.4832,NA,NA,NA,3,NA,NA
"256","dpz829c",1.0173,0.0302,596,0.0169,0.2125,0.1433,0.032,0.0911,0.5042,NA,NA,NA,NA,NA,NA
"257","dpz829d",0.4554,0.0403,149,0.0068,0.2162,0.1486,0.0743,0.027,0.5271,NA,NA,NA,NA,NA,NA
"258","dpz829e",0.9676,0.125,16,0.0625,0.125,0,0.5625,0,0.25,NA,NA,NA,NA,NA,NA
"259","dpz829f",0.8999,0.2442,385,0.0106,0.2566,0.2143,0.0503,0.037,0.4312,NA,NA,NA,NA,NA,NA
"260","dpz829g",1.0329,0.1848,303,0.02,0.2633,0.1,0.0367,0.04,0.54,NA,NA,NA,NA,NA,NA
"261","dpz829h",1.1397,0.1139,79,0.0256,0.0897,0.141,0.2821,0.0385,0.4231,NA,NA,NA,NA,NA,NA
"262","dpz829j",1.1547,0.2054,297,0,0.3082,0.1438,0.0548,0.0548,0.4384,NA,NA,NA,NA,NA,NA
"263","dpz829k",1.2341,0.2508,295,0,0.3127,0.1306,0.0515,0.0515,0.4537,NA,NA,NA,NA,NA,NA
"264","dpz829m",1.2744,0.202,297,0,0.3072,0.1365,0.0512,0.0512,0.4539,NA,NA,NA,NA,NA,NA
"265","dpz829n",0.7588,0.0676,74,0.0135,0.0676,0.0405,0.0946,0.0135,0.7703,2012-03-14,NA,NA,6,10043,1734
"266","dpz829p",0.7916,0.171,193,0.0104,0.0622,0.5233,0.0725,0.1969,0.1347,NA,NA,NA,5,NA,NA
"267","dpz829q",0.9096,0.0576,2554,0.025,0.2323,0.13,0.0309,0.0551,0.5267,NA,NA,NA,NA,NA,NA
"268","dpz829r",0.8211,0.0657,137,0.0373,0.2463,0.1866,0.0224,0.1194,0.388,NA,NA,NA,NA,NA,NA
"269","dpz829s",1.0969,0.1842,38,0,0.3158,0.1579,0,0.1053,0.421,NA,NA,NA,NA,NA,NA
"270","dpz829t",0.5322,0.1167,2862,0.0206,0.2321,0.1488,0.034,0.0439,0.5206,NA,NA,NA,3,NA,NA
"271","dpz829u",0.5685,0.0381,1600,0.0171,0.2312,0.1554,0.031,0.0423,0.523,NA,NA,NA,NA,NA,NA
"272","dpz829v",1.3071,0.1379,29,0.0357,0.1429,0.0357,0.1786,0,0.6071,NA,NA,NA,NA,NA,NA
"273","dpz829w",1.0413,0.0185,162,0.0186,0.1863,0.1553,0.0311,0.0435,0.5652,NA,NA,NA,NA,NA,NA
"274","dpz829x",1.0491,0.0385,26,0,0.1923,0.2308,0.0385,0.0769,0.4615,NA,NA,NA,NA,NA,NA
"275","dpz829y",1.1112,0.2238,143,0.0144,0.1151,0.1727,0.0144,0.0576,0.6258,NA,NA,NA,NA,NA,NA
"276","dpz829z",1.0235,0.0265,113,0,0.2389,0.1239,0.0619,0.1504,0.4249,NA,NA,NA,2,NA,NA
"277","dpz82b0",0.9974,0.0843,83,0.0241,0.3373,0.1928,0.0482,0.0602,0.3374,NA,NA,NA,NA,NA,NA
"278","dpz82b1",1.1342,0.0263,38,0,0.1842,0.0263,0.0263,0.1842,0.579,NA,NA,NA,NA,NA,NA
"279","dpz82b2",0.9033,0.2143,14,0,0.1429,0.2143,0,0.1429,0.4999,NA,NA,NA,NA,NA,NA
"280","dpz82b3",0.8291,0.0924,184,0,0.0326,0.0543,0.1359,0.3315,0.4457,NA,NA,NA,NA,NA,NA
"281","dpz82b4",1.1131,0.15,40,0,0.25,0.075,0.125,0.1,0.45,NA,NA,NA,NA,NA,NA
"282","dpz82b5",0.6468,0.1242,161,0.0186,0.1925,0.2422,0.0311,0.0373,0.4783,NA,NA,NA,NA,NA,NA
"283","dpz82b6",0.5807,0.1892,111,0.027,0.1532,0.1622,0.0901,0.1532,0.4143,NA,NA,NA,NA,NA,NA
"284","dpz82b7",0.6007,0.1471,34,0,0.4412,0.1176,0.0588,0.0294,0.353,NA,NA,NA,NA,NA,NA
"285","dpz82b8",0.9605,0.18,50,0.04,0.24,0.26,0.02,0.1,0.34,NA,NA,NA,NA,NA,NA
"286","dpz82b9",0.9207,0.073,178,0.0169,0.2147,0.1186,0.0226,0.0904,0.5368,NA,NA,NA,NA,NA,NA
"287","dpz82bb",1.1302,0.15,60,0.0169,0.2203,0.4068,0.0847,0.0847,0.1866,NA,NA,NA,NA,NA,NA
"288","dpz82bc",1.0671,0.5422,83,0.0123,0.0864,0.3457,0.0617,0.1975,0.2964,NA,NA,NA,NA,NA,NA
"289","dpz82bd",0.638,0.3143,70,0,0.7571,0.1,0.0429,0,0.1,2015-08-24,NA,NA,4,10301,1835
"290","dpz82be",0.7895,0.0612,147,0.0207,0.2207,0.2,0.0345,0.1517,0.3724,2017-05-17,NA,NA,6,11884,5678
"291","dpz82bf",1.2817,0.25,168,0.0181,0.1265,0.4277,0.0904,0.1024,0.2349,NA,NA,NA,NA,NA,NA
"292","dpz82bg",0.8406,0.25,204,0.0197,0.1084,0.4138,0.0887,0.0936,0.2758,NA,NA,NA,NA,NA,NA
"293","dpz82bh",0.4997,0.3305,2965,0.0428,0.2111,0.1158,0.036,0.072,0.5223,NA,NA,NA,NA,NA,NA
"294","dpz82bj",0.4763,0.1463,1230,0.0205,0.1772,0.1157,0.0394,0.0705,0.5767,NA,NA,NA,NA,NA,NA
"295","dpz82bk",0.7944,0.0899,89,0,0.1954,0.2069,0.023,0.0805,0.4942,NA,NA,NA,NA,NA,NA
"296","dpz82bm",0.6249,0.0913,701,0.0217,0.2442,0.1084,0.0231,0.0419,0.5607,NA,NA,NA,NA,NA,NA
"297","dpz82bn",2.0726,0.0526,19,0,0.0526,0.1579,0,0.4737,0.3158,NA,NA,NA,NA,NA,NA
"298","dpz82bp",0.863,0.0604,8367,0.0354,0.197,0.2005,0.0521,0.1055,0.4095,NA,NA,NA,NA,NA,NA
"299","dpz82bq",0.5095,0.0183,710,0.034,0.2096,0.255,0.0354,0.068,0.398,2017-11-16,NA,NA,NA,12200,796
"300","dpz82br",2.0125,0.2,20,0.05,0.05,0.7,0,0.15,0.05,NA,NA,NA,NA,NA,NA
"301","dpz82bs",0.8084,0.027,74,0.0135,0.1216,0.1757,0.0676,0.2027,0.4189,NA,NA,NA,NA,NA,NA
"302","dpz82bt",0.6504,0.0505,198,0.0202,0.1818,0.1667,0.0253,0.1414,0.4646,NA,NA,NA,NA,NA,NA
"303","dpz82bu",0.895,0.0866,127,0.0238,0.127,0.1746,0.0556,0.1825,0.4365,NA,NA,NA,NA,NA,NA
"304","dpz82bv",0.6545,0.0253,277,0.033,0.1502,0.1868,0.0476,0.1392,0.4432,2013-12-05,NA,NA,2,13533,4681
"305","dpz82bw",0.5642,0.1,80,0,0.4,0.2125,0.025,0.1375,0.225,NA,NA,NA,2,NA,NA
"306","dpz82bx",0.6654,0.0082,243,0.0206,0.2551,0.1481,0.0247,0.0782,0.4733,NA,NA,NA,NA,NA,NA
"307","dpz82by",1.7031,0.1538,13,0,0.3846,0.1538,0,0.0769,0.3847,NA,NA,NA,NA,NA,NA
"308","dpz82bz",1.1316,0.1375,80,0.0253,0.2405,0.1519,0.0253,0.0633,0.4937,NA,NA,NA,NA,NA,NA
"309","dpz82c0",2.2332,0.0714,42,0,0.1951,0.1707,0.0488,0.0244,0.561,2013-03-14,NA,NA,NA,11628,4053
"310","dpz82c1",0.7115,0.2007,573,0.0122,0.1976,0.222,0.0315,0.1538,0.3829,NA,NA,NA,NA,NA,NA
"311","dpz82c2",2.8994,0.0041,243,0.0165,0.157,0.1777,0.0289,0.0661,0.5538,NA,NA,NA,NA,NA,NA
"312","dpz82c3",0.7459,0.1429,147,0.0274,0.137,0.1507,0.0342,0.137,0.5137,NA,NA,NA,NA,NA,NA
"313","dpz82c4",0.6865,0.2326,43,0,0.0465,0.7209,0.093,0.0465,0.0931,NA,NA,NA,NA,NA,NA
"314","dpz82c5",1.3009,0.0526,19,0,0.1053,0.2632,0.0526,0.4211,0.1578,NA,NA,NA,NA,NA,NA
"315","dpz82c6",1.298,0.0807,161,0.0563,0.1812,0.0938,0.0375,0.025,0.6062,2009-08-20,NA,NA,NA,11185,2755
"316","dpz82c7",3.7624,0.0476,21,0,0.0476,0.1429,0.0476,0.4762,0.2857,NA,NA,NA,2,NA,NA
"317","dpz82c8",0.7856,0.0675,4386,0.0108,0.2,0.1067,0.0347,0.0771,0.5707,2012-02-09,NA,NA,NA,5191,2270
"318","dpz82c9",0.6833,0.0588,85,0.0118,0.0353,0.6588,0.0941,0.0941,0.1059,NA,NA,NA,NA,NA,NA
"319","dpz82cb",0.7641,0.1111,36,0,0.0556,0.0833,0.0278,0.5,0.3333,NA,NA,NA,NA,NA,NA
"320","dpz82cc",2.2197,0.0588,17,0,0.1176,0,0.0588,0.4706,0.353,NA,NA,NA,NA,NA,NA
"321","dpz82cd",1.3081,0.1305,2567,0.0377,0.2264,0.1338,0.0369,0.0569,0.5083,2010-01-14,NA,NA,2,3069,486
"322","dpz82ce",0.7323,0.2456,684,0.0074,0.1912,0.1029,0.0206,0.0574,0.6205,NA,NA,NA,NA,NA,NA
"323","dpz82cf",1.1458,0.1649,831,0.0339,0.2225,0.1282,0.029,0.0423,0.5441,NA,NA,NA,NA,NA,NA
"324","dpz82cg",0.6661,0.1546,194,0.0156,0.1458,0.0573,0.0156,0.0417,0.724,NA,NA,NA,NA,NA,NA
"325","dpz82ch",0.7608,0.1905,21,0,0.1905,0.0476,0.1429,0.0952,0.5238,NA,NA,NA,NA,NA,NA
"326","dpz82cj",0.971,0.2,15,0.0667,0.2,0.2667,0.2,0,0.2666,NA,NA,NA,NA,NA,NA
"327","dpz82ck",1.7422,0.0357,28,0,0.2143,0.1429,0.1429,0.0357,0.4642,NA,NA,NA,NA,NA,NA
"328","dpz82cm",0.5724,0.142,169,0.0237,0.2012,0.2012,0.0533,0.0888,0.4318,2009-08-19,NA,NA,NA,9898,1979
"329","dpz82cn",0.7652,0.0673,773,0.0273,0.2679,0.2133,0.039,0.0468,0.4057,NA,NA,NA,NA,NA,NA
"330","dpz82cp",0.9364,0.2785,79,0.0256,0.2308,0.1667,0,0.0769,0.5,NA,NA,NA,NA,NA,NA
"331","dpz82cq",0.8057,0.0645,31,0,0.2581,0.2581,0,0.0323,0.4515,NA,0.0175,3,NA,NA,NA
"332","dpz82cr",0.7678,0.0783,115,0.0263,0.3333,0.114,0.0439,0.0789,0.4036,NA,NA,NA,NA,NA,NA
"333","dpz82ct",0.3343,0.1454,784,0.0296,0.2031,0.1838,0.0308,0.0488,0.5039,NA,NA,NA,NA,NA,NA
"334","dpz82cv",0.6419,0.175,800,0.0303,0.2045,0.1768,0.0354,0.0429,0.5101,NA,NA,NA,NA,NA,NA
"335","dpz82cw",0.69,0.183,694,0.0319,0.2119,0.1916,0.0392,0.0421,0.4833,NA,NA,NA,NA,NA,NA
"336","dpz82cx",1.2041,0.0714,14,0.0714,0.2143,0.1429,0.0714,0.0714,0.4286,2010-08-11,NA,NA,7,7820,1231
"337","dpz82cy",1.2749,0.0667,30,0,0.2333,0.0667,0,0.0667,0.6333,NA,NA,NA,NA,NA,NA
"338","dpz82cz",1.1732,0.218,367,0.011,0.2514,0.1381,0.0138,0.0552,0.5305,NA,NA,NA,NA,NA,NA
"339","dpz82d0",0.7666,0.5308,130,0,0.0615,0.5154,0,0.0154,0.4077,2012-02-08,NA,NA,2,8408,1895
"340","dpz82d1",0.741,0.1852,108,0.0561,0.1589,0.1215,0.028,0.1308,0.5047,NA,NA,NA,2,NA,NA
"341","dpz82d2",0.5308,0.08,25,0,0.24,0.28,0.04,0.12,0.32,NA,NA,NA,NA,NA,NA
"342","dpz82d3",0.6304,0.4565,46,0,0.1304,0.1087,0.0435,0.4348,0.2826,NA,NA,NA,NA,NA,NA
"343","dpz82d4",1.3366,0.1863,451,0.0135,0.2432,0.2117,0.0473,0.0293,0.455,NA,NA,NA,NA,NA,NA
"344","dpz82d5",1.0026,0.1863,424,0.0167,0.2762,0.1167,0.0548,0.0357,0.4999,NA,NA,NA,NA,NA,NA
"345","dpz82d6",0.7222,0.0662,302,0.0101,0.2256,0.138,0.0337,0.064,0.5286,NA,NA,NA,NA,NA,NA
"346","dpz82d7",1.2431,0.0809,235,0.013,0.2304,0.1174,0.0261,0.0565,0.5566,NA,NA,NA,NA,NA,NA
"347","dpz82d8",0.5196,0.1639,1318,0.0176,0.1687,0.2046,0.0557,0.1092,0.4442,NA,NA,NA,NA,NA,NA
"348","dpz82d9",0.5067,0.0683,205,0.0049,0.2341,0.2732,0.0829,0.161,0.2439,NA,NA,NA,NA,NA,NA
"349","dpz82db",1.5015,0.2105,19,0,0.2105,0.1579,0,0.0526,0.579,NA,NA,NA,2,NA,NA
"350","dpz82dc",1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375,NA,NA,NA,5,NA,NA
"351","dpz82dd",1.3072,0.1947,190,0.0106,0.3122,0.1376,0.0317,0.1111,0.3968,NA,NA,NA,NA,NA,NA
"352","dpz82de",0.9235,0.1304,23,0,0.3913,0.087,0,0.3043,0.2174,NA,NA,NA,NA,NA,NA
"353","dpz82df",0.6278,0.0864,81,0,0.0494,0.5432,0.0494,0,0.358,NA,NA,NA,2,NA,NA
"354","dpz82dg",0.5518,0.0676,74,0,0.2222,0.1667,0.0278,0.2222,0.3611,2017-01-16,0.0111,4,NA,11340,4611
"355","dpz82dh",1.1191,0.1118,2692,0.0222,0.2303,0.1484,0.0349,0.0477,0.5165,2012-03-20,NA,NA,10,14775,3301
"356","dpz82dj",0.8993,0.1304,299,0.0204,0.1463,0.1224,0.0442,0.0986,0.5681,NA,NA,NA,2,NA,NA
"357","dpz82dk",1.5142,0.05,20,0,0.25,0.2,0,0,0.55,NA,NA,NA,NA,NA,NA
"358","dpz82dm",0.6792,0.1422,211,0.0288,0.125,0.2308,0.024,0.0769,0.5145,NA,NA,NA,NA,NA,NA
"359","dpz82dn",1.3072,0.1077,65,0,0.1875,0.0938,0.0781,0.125,0.5156,NA,NA,NA,NA,NA,NA
"360","dpz82dp",0.9094,0.1437,174,0.0172,0.1494,0.0977,0.046,0.1724,0.5173,2015-04-11,NA,NA,5,11860,7315
"361","dpz82dq",0.6421,0.0512,215,0.0047,0.1729,0.1682,0.0327,0.0421,0.5794,NA,NA,NA,NA,NA,NA
"362","dpz82dr",1.0585,0.1418,275,0.0146,0.1752,0.3285,0.0584,0.0474,0.3759,NA,NA,NA,NA,NA,NA
"363","dpz82ds",0.6737,0.0629,2957,0.0256,0.2225,0.1474,0.0375,0.0461,0.5209,NA,NA,NA,NA,NA,NA
"364","dpz82dt",0.6176,0.1324,68,0.0147,0.2353,0.2353,0.0294,0.0882,0.3971,NA,NA,NA,NA,NA,NA
"365","dpz82du",1.4416,0.0769,26,0,0.1154,0.1154,0,0.1538,0.6154,NA,NA,NA,NA,NA,NA
"366","dpz82dv",1.4457,0.0833,72,0,0.1528,0.2222,0.0139,0.0556,0.5555,NA,NA,NA,NA,NA,NA
"367","dpz82dw",0.6169,0.1678,143,0.0141,0.2324,0.2324,0.0352,0.1197,0.3662,2010-01-12,NA,NA,7,6627,830
"368","dpz82dx",1.426,0.3101,316,0.0096,0.1688,0.2389,0.035,0.0446,0.5031,NA,NA,NA,NA,NA,NA
"369","dpz82dy",0.6488,0.0714,28,0,0.1786,0.1429,0.1071,0.0357,0.5357,NA,NA,NA,2,NA,NA
"370","dpz82dz",1.5171,0.2364,313,0.0096,0.1801,0.2379,0.0354,0.045,0.492,NA,NA,NA,NA,NA,NA
"371","dpz82e0",3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286,NA,NA,NA,3,NA,NA
"372","dpz82e1",0.6942,0.0258,271,0.0187,0.1573,0.3296,0.0262,0.0637,0.4045,NA,NA,NA,NA,NA,NA
"373","dpz82e2",1.6225,0.1694,307,0.0163,0.2418,0.3333,0.0261,0.0654,0.3171,NA,NA,NA,NA,NA,NA
"374","dpz82e3",1.6579,0.3462,26,0,0.0769,0.2308,0.0385,0,0.6538,NA,NA,NA,NA,NA,NA
"375","dpz82e4",0.9092,0.1887,106,0,0.0472,0.6038,0.0472,0,0.3018,NA,NA,NA,NA,NA,NA
"376","dpz82e5",0.3081,0.0077,3890,0.0254,0.2041,0.1586,0.0435,0.0463,0.5221,NA,NA,NA,NA,NA,NA
"377","dpz82e6",0.9229,0.106,302,0.0234,0.194,0.2943,0.0401,0.0502,0.398,2010-05-20,NA,NA,2,5859,1005
"378","dpz82e7",1.251,0.0766,222,0,0.1946,0.1629,0.0769,0.0679,0.4977,NA,NA,NA,NA,NA,NA
"379","dpz82e8",1.4653,0.2297,357,0.0113,0.255,0.3088,0.0312,0.0708,0.3229,NA,NA,NA,NA,NA,NA
"380","dpz82e9",1.9281,0.087,23,0,0.087,0.2609,0.0435,0,0.6086,NA,NA,NA,NA,NA,NA
"381","dpz82eb",0.5463,0.0727,399,0.0101,0.2532,0.1468,0.0278,0.0532,0.5089,NA,NA,NA,NA,NA,NA
"382","dpz82ec",0.4915,0.0138,435,0.0508,0.2009,0.1917,0.0254,0.0647,0.4665,2010-05-20,NA,NA,NA,6818,1574
"383","dpz82ed",0.4344,0.0051,3340,0.0212,0.1893,0.1775,0.0478,0.0478,0.5164,NA,NA,NA,NA,NA,NA
"384","dpz82ee",0.7714,0.0667,15,0.0714,0.2143,0,0,0,0.7143,NA,NA,NA,NA,NA,NA
"385","dpz82ef",0.8248,0.0488,82,0.0122,0.2317,0.1829,0.0488,0.061,0.4634,NA,NA,NA,NA,NA,NA
"386","dpz82eg",1.1361,0.2059,850,0.0274,0.292,0.1275,0.0358,0.0381,0.4792,NA,NA,NA,NA,NA,NA
"387","dpz82eh",1.9957,0.026,77,0,0.1299,0.2078,0.1299,0.026,0.5064,NA,NA,NA,NA,NA,NA
"388","dpz82ej",0.9058,0.3143,35,0.0571,0.0571,0.2286,0,0.0857,0.5715,NA,NA,NA,NA,NA,NA
"389","dpz82ek",0.8751,0.1854,712,0.0128,0.2099,0.2156,0.0369,0.0454,0.4794,NA,NA,NA,NA,NA,NA
"390","dpz82em",0.8307,0.007,1563,0.0226,0.1805,0.1695,0.0369,0.0673,0.5232,NA,NA,NA,2,NA,NA
"391","dpz82en",1.5148,0.239,590,0.0086,0.2106,0.2038,0.024,0.0634,0.4896,2017-01-16,NA,NA,6,13223,5290
"392","dpz82ep",2.9616,0.1111,18,0.1111,0.1667,0.1111,0,0.1667,0.4444,NA,NA,NA,9,NA,NA
"393","dpz82eq",1.7245,0.2044,137,0.0074,0.1838,0.2132,0.0074,0.0588,0.5294,NA,NA,NA,NA,NA,NA
"394","dpz82er",0.9941,0.1234,697,0.0202,0.2254,0.1546,0.0376,0.0607,0.5015,NA,NA,NA,NA,NA,NA
"395","dpz82es",1.1629,0.1765,17,0.0588,0.1765,0.1176,0.0588,0.1176,0.4707,NA,NA,NA,NA,NA,NA
