"","Geohash","year","month","Count.Date","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume","sum_acc_count","temp_chg","snow","rain","SeverityScore","IncidentsTotal","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther"
"37","dpz822",2013,"08",2017-05-17,9339,2582,2,11.8,0,38.6,NA,NA,1.8403,0.0625,16,0.0625,0.125,0.1875,0.125,0.125,0.375
"38","dpz822",2017,"10",2017-05-17,9339,2582,3,NA,0,12.5,NA,NA,1.8403,0.0625,16,0.0625,0.125,0.1875,0.125,0.125,0.375
"39","dpz822",2012,"06",2017-05-17,9339,2582,2,16.3,0,45.5,NA,NA,1.8403,0.0625,16,0.0625,0.125,0.1875,0.125,0.125,0.375
"40","dpz823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3743,0.0843,83,0.0241,0.2771,0.1807,0.0361,0.0723,0.4097
"41","dpz826",2017,"04",2016-06-11,14803,5131,2,NA,0,26.9,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
"42","dpz826",2011,"09",2016-06-11,14803,5131,2,13.7,0,28.9,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
"43","dpz826",2017,"06",2016-06-11,14803,5131,2,NA,0,33.1,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
"44","dpz826",2016,"10",2016-06-11,14803,5131,2,13.5,0,9.6,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
"45","dpz826",2017,"12",2016-06-11,14803,5131,3,11.3,16,7.2,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
"46","dpz826",2016,"08",2016-06-11,14803,5131,2,NA,0,19.2,0.0582,3,2.4336,0.3375,160,0.0063,0.4873,0.1203,0.0316,0.0633,0.2912
"47","dpz827",2007,"02",2016-04-28,10922,378,2,16,20,5.6,0.0229,3,1.6292,0.267,221,0.0731,0.1416,0.0457,0.1461,0.3562,0.2373
"48","dpz827",2008,"06",2016-04-28,10922,378,2,15.5,0,28.3,0.0229,3,1.6292,0.267,221,0.0731,0.1416,0.0457,0.1461,0.3562,0.2373
"49","dpz827",2008,"01",2016-04-28,10922,378,2,17.6,6,12.4,0.0229,3,1.6292,0.267,221,0.0731,0.1416,0.0457,0.1461,0.3562,0.2373
"50","dpz828",2013,"07",2018-01-24,9466,2769,2,NA,0,96.8,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"51","dpz828",2007,"06",2018-01-24,9466,2769,2,16.5,0,10.3,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"52","dpz828",2010,"06",2018-01-24,9466,2769,2,13.2,0,44.9,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"53","dpz828",2010,"10",2018-01-24,9466,2769,2,14.9,0,17.7,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"54","dpz828",2015,"03",2018-01-24,9466,2769,2,11.9,0,5.4,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"55","dpz828",2016,"12",2018-01-24,9466,2769,2,NA,22,13.9,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"56","dpz828",2015,"12",2018-01-24,9466,2769,2,NA,5,18.9,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"57","dpz828",2011,"05",2018-01-24,9466,2769,2,12.3,0,18,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"58","dpz828",2015,"10",2018-01-24,9466,2769,3,15.6,0,58.3,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"59","dpz828",2011,"07",2018-01-24,9466,2769,2,13.4,0,11.7,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"60","dpz828",2013,"06",2018-01-24,9466,2769,1,12.7,0,26.7,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"61","dpz828",2007,"01",2018-01-24,9466,2769,3,11.9,10,11.5,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"62","dpz828",2012,"07",2018-01-24,9466,2769,2,14.3,0,33.4,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"63","dpz828",2007,"09",2018-01-24,9466,2769,2,15,0,9.8,0.0239,3,3.6398,0.0435,23,0,0.087,0.1739,0.0435,0.1739,0.5217
"64","dpz829",2008,"11",2016-04-27,8849,1094,3,9.7,4,31,NA,NA,1.3071,0.1379,29,0.0357,0.1429,0.0357,0.1786,0,0.6071
"65","dpz829",2011,"02",2016-04-27,8849,1094,2,15.9,0,14,NA,NA,1.3071,0.1379,29,0.0357,0.1429,0.0357,0.1786,0,0.6071
"66","dpz829",2014,"02",2016-04-27,8849,1094,6,11.8,30,14.1,NA,NA,1.3071,0.1379,29,0.0357,0.1429,0.0357,0.1786,0,0.6071
"67","dpz829",2015,"12",2016-04-27,8849,1094,5,NA,5,18.9,NA,NA,1.3071,0.1379,29,0.0357,0.1429,0.0357,0.1786,0,0.6071
"68","dpz829",2009,"02",2016-04-27,8849,1094,3,20.4,32,25.6,NA,NA,1.3071,0.1379,29,0.0357,0.1429,0.0357,0.1786,0,0.6071
"69","dpz829",2008,"01",2016-04-27,8849,1094,2,17.6,6,12.4,NA,NA,1.3071,0.1379,29,0.0357,0.1429,0.0357,0.1786,0,0.6071
"70","dpz82b",2017,"08",2017-11-16,12200,796,2,11.9,0,8.5,NA,NA,2.0726,0.0526,19,0,0.0526,0.1579,0,0.4737,0.3158
"71","dpz82b",2013,"08",2017-11-16,12200,796,4,11.8,0,38.6,NA,NA,2.0726,0.0526,19,0,0.0526,0.1579,0,0.4737,0.3158
