,X,Y,Index_,ACCNUM,YEAR,LATITUDE,LONGITUDE,Ward_ID,Hood_ID,MONTH,DAY,Dark,Dawn,Daylight,Dusk,Inv_PED,Inv_CYC,Inv_AM,Inv_MC,Inv_TC,Speeding,Ag_Driv,Redlight,Alcohol,Disability,AvgAcceleration,PercentOfVehicles,AvgMonthlyVolume,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,Geohash,Max_Temp,Min_Temp,Daily_dif,Ave_Temp,Rain_vol,Snow_vol
2395,-79.28607569,43.71091039999999,80199142,3001085931,2013,43.710910399999996,-79.28607569,35,120,12,3,1,0,0,0,1,0,1,0,0,1,1,0,0,0,,,,,,,,,,,4.2,-6.0,9.5,-0.18,0.5,0.0
2396,-79.28334437,43.69225653,80632472,6000883005,2016,43.69225653,-79.28334437,35,121,5,22,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,24.5,11.9,12.5,17.950000000000003,0.0,0.0
2397,-79.28334437,43.69225653,80632473,6000883005,2016,43.69225653,-79.28334437,35,121,5,22,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,24.5,11.9,12.5,17.950000000000003,0.0,0.0
2398,-79.28334437,43.69225653,80632474,6000883005,2016,43.69225653,-79.28334437,35,121,5,22,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,24.5,11.9,12.5,17.950000000000003,0.0,0.0
2399,-79.22295008,43.76024206000001,80632298,6001957443,2016,43.76024206,-79.22295008,43,137,11,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,14.5,4.9,8.6,10.425,13.199999999999998,0.0
2400,-79.22295008,43.76024206000001,80632299,6001957443,2016,43.76024206,-79.22295008,43,137,11,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,14.5,4.9,8.6,10.425,13.199999999999998,0.0
2401,-79.44723902,43.73451575,80741775,7000811654,2017,43.73451575,-79.44723902,10,33,5,8,0,0,1,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,12.8,0.9,11.5,6.8500000000000005,0.0,0.0
2402,-79.44723902,43.73451575,80741776,7000811654,2017,43.73451575,-79.44723902,10,33,5,8,0,0,1,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,12.8,0.9,11.5,6.8500000000000005,0.0,0.0
2403,-79.42659029,43.67054538,5262963,1114984,2009,43.67054538,-79.42659029,19,93,6,13,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.4416,0.0694,8872.0,0.0225,0.1801,0.2031,0.0667,0.0916,0.436,dpz82tgr,23.3,11.9,10.700000000000001,18.425,0.0,0.0
2404,-79.42659029,43.67054538,5262964,1114984,2009,43.67054538,-79.42659029,19,93,6,13,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.4416,0.0694,8872.0,0.0225,0.1801,0.2031,0.0667,0.0916,0.436,dpz82tgr,23.3,11.9,10.700000000000001,18.425,0.0,0.0
2405,-79.42659029,43.67054538,5262965,1114984,2009,43.67054538,-79.42659029,19,93,6,13,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.4416,0.0694,8872.0,0.0225,0.1801,0.2031,0.0667,0.0916,0.436,dpz82tgr,23.3,11.9,10.700000000000001,18.425,0.0,0.0
2406,-79.41229029,43.71594538,6280547,1203435,2010,43.71594538,-79.41229029,16,103,11,22,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,15.5,3.0,12.5,10.399999999999999,9.066666666666666,0.0
2407,-79.41229029,43.71594538,6280548,1203435,2010,43.71594538,-79.41229029,16,103,11,22,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,15.5,3.0,12.5,10.399999999999999,9.066666666666666,0.0
2408,-79.44117365,43.69342764,80771840,7000346961,2017,43.69342764,-79.44117365,15,107,2,24,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,6.0,2.0,4.0,4.1,8.533333333333333,0.0
2409,-79.44117365,43.69342764,80771841,7000346961,2017,43.69342764,-79.44117365,15,107,2,24,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,6.0,2.0,4.0,4.1,8.533333333333333,0.0
2410,-79.46639029000002,43.71044538,5439862,1073722,2008,43.71044538,-79.46639029,15,31,11,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,7.5,-0.5,8.0,4.3,3.6999999999999997,0.0
2411,-79.46639029000002,43.71044538,5439863,1073722,2008,43.71044538,-79.46639029,15,31,11,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,7.5,-0.5,8.0,4.3,3.6999999999999997,0.0
2412,-79.52529029,43.67924537999998,5046062,1136056,2009,43.67924538,-79.52529029,4,9,10,21,1,0,0,0,0,0,1,0,1,1,1,0,0,0,,,,,,,,,,,14.0,10.1,3.0,12.2,1.5333333333333332,0.0
2413,-79.52529029,43.67924537999998,5046063,1136056,2009,43.67924538,-79.52529029,4,9,10,21,1,0,0,0,0,0,1,0,1,1,1,0,0,0,,,,,,,,,,,14.0,10.1,3.0,12.2,1.5333333333333332,0.0
2414,-79.52529029,43.67924537999998,5046064,1136056,2009,43.67924538,-79.52529029,4,9,10,21,1,0,0,0,0,0,1,0,1,1,1,0,0,0,,,,,,,,,,,14.0,10.1,3.0,12.2,1.5333333333333332,0.0
2415,-79.44939029,43.67134538,6804668,1242543,2011,43.67134538,-79.44939029,17,93,5,20,0,0,1,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,25.0,12.0,12.5,18.675,1.9333333333333333,0.0
2416,-79.44939029,43.67134538,6804669,1242543,2011,43.67134538,-79.44939029,17,93,5,20,0,0,1,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,25.0,12.0,12.5,18.675,1.9333333333333333,0.0
2417,-79.36229029,43.71404538,6670661,1251696,2011,43.71404538,-79.36229029,26,55,7,20,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,36.0,17.0,18.5,27.025,0.0,0.0
2418,-79.36229029,43.71404538,6670662,1251696,2011,43.71404538,-79.36229029,26,55,7,20,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,36.0,17.0,18.5,27.025,0.0,0.0
2419,-79.36229029,43.71404538,6670663,1251696,2011,43.71404538,-79.36229029,26,55,7,20,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,36.0,17.0,18.5,27.025,0.0,0.0
2420,-79.52639029,43.65134538,7533263,1338446,2012,43.65134538,-79.52639029,4,15,12,7,1,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,7.5,-1.0,7.0,3.675,1.6333333333333335,0.0
2421,-79.52639029,43.65134538,7533264,1338446,2012,43.65134538,-79.52639029,4,15,12,7,1,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,7.5,-1.0,7.0,3.675,1.6333333333333335,0.0
2422,-79.45209029,43.70234538000001,4290905,1023759,2007,43.70234538,-79.45209029,15,108,12,20,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,2.7,-3.9,5.1,-0.55,0.0,0.0
2423,-79.45209029,43.70234538000001,4290906,1023759,2007,43.70234538,-79.45209029,15,108,12,20,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,2.7,-3.9,5.1,-0.55,0.0,0.0
2424,-79.39909029,43.68074538,5390543,1051990,2008,43.68074538,-79.39909029,22,96,6,25,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,28.5,11.5,17.0,20.25,0.0,0.0
